 xid yid zid cryst xev yev zev
145 0 1 4 0.0 0.0 0.0 0.0
146 0 2 4 0.0 0.0 0.0 0.0
147 0 3 4 0.0 0.0 0.0 0.0
148 0 4 4 0.0 0.0 0.0 0.0
149 0 5 4 0.0 0.0 0.0 0.0
150 1 0 4 0.0 0.0 0.0 0.0
151 1 1 4 0.0 0.0 0.0 0.0
152 1 2 4 0.0 0.0 0.0 0.0
153 1 3 4 0.0 0.0 0.0 0.0
154 1 4 4 0.0 0.0 0.0 0.0
155 1 5 4 0.0 0.0 0.0 0.0
156 2 0 4 0.0 0.0 0.0 0.0
157 2 1 4 0.0 0.0 0.0 0.0
158 2 2 4 0.0 0.0 0.0 0.0
159 2 3 4 0.0 0.0 0.0 0.0
160 2 4 4 0.0 0.0 0.0 0.0
161 2 5 4 0.0 0.0 0.0 0.0
162 3 0 4 0.0 0.0 0.0 0.0
163 3 1 4 0.0 0.0 0.0 0.0
164 3 2 4 0.0 0.0 0.0 0.0
165 3 3 4 0.0 0.0 0.0 0.0
166 3 4 4 0.0 0.0 0.0 0.0
167 3 5 4 0.0 0.0 0.0 0.0
168 4 0 4 0.0 0.0 0.0 0.0
169 4 1 4 0.0 0.0 0.0 0.0
170 4 2 4 0.0 0.0 0.0 0.0
171 4 3 4 0.0 0.0 0.0 0.0
172 4 4 4 0.0 0.0 0.0 0.0
173 4 5 4 0.0 0.0 0.0 0.0
174 5 0 4 0.0 0.0 0.0 0.0
175 5 1 4 0.0 0.0 0.0 0.0
176 5 2 4 0.0 0.0 0.0 0.0
177 5 3 4 0.0 0.0 0.0 0.0
178 5 4 4 0.0 0.0 0.0 0.0
179 5 5 4 0.0 0.0 0.0 0.0
180 0 0 5 0.0 0.0 0.0 0.0
181 0 1 5 0.0 0.0 0.0 0.0
182 0 2 5 0.0 0.0 0.0 0.0
183 0 3 5 0.0 0.0 0.0 0.0
184 0 4 5 0.0 0.0 0.0 0.0
185 0 5 5 0.0 0.0 0.0 0.0
186 1 0 5 0.0 0.0 0.0 0.0
187 1 1 5 0.0 0.0 0.0 0.0
188 1 2 5 0.0 0.0 0.0 0.0
189 1 3 5 0.0 0.0 0.0 0.0
190 1 4 5 0.0 0.0 0.0 0.0
191 1 5 5 0.0 0.0 0.0 0.0
192 2 0 5 0.0 0.0 0.0 0.0
193 2 1 5 0.0 0.0 0.0 0.0
194 2 2 5 0.0 0.0 0.0 0.0
195 2 3 5 0.0 0.0 0.0 0.0
196 2 4 5 0.0 0.0 0.0 0.0
197 2 5 5 0.0 0.0 0.0 0.0
198 3 0 5 0.0 0.0 0.0 0.0
199 3 1 5 0.0 0.0 0.0 0.0
200 3 2 5 0.0 0.0 0.0 0.0
201 3 3 5 0.0 0.0 0.0 0.0
202 3 4 5 0.0 0.0 0.0 0.0
203 3 5 5 0.0 0.0 0.0 0.0
204 4 0 5 0.0 0.0 0.0 0.0
205 4 1 5 0.0 0.0 0.0 0.0
206 4 2 5 0.0 0.0 0.0 0.0
207 4 3 5 0.0 0.0 0.0 0.0
208 4 4 5 0.0 0.0 0.0 0.0
209 4 5 5 0.0 0.0 0.0 0.0
210 5 0 5 0.0 0.0 0.0 0.0
211 5 1 5 0.0 0.0 0.0 0.0
212 5 2 5 0.0 0.0 0.0 0.0
213 5 3 5 0.0 0.0 0.0 0.0
214 5 4 5 0.0 0.0 0.0 0.0
215 5 5 5 0.0 0.0 0.0 0.0
